"This is a required field.","Este campo é obrigatório."
"Please enter a valid number in this field.","Por favor, insira um número válido neste campo."
"Please enter a number greater than 0, without comma in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter a valid number in this field. Do not use spaces, commas, etc.","Por favor, insira um número válido neste campo. Não utilize espaços, vírgulas, etc."
"Please select an option.","Por favor, selecione uma opção."
